
  _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   SLprs,_inHG |   SLtmp,_degC |   _wind,speed |   _wind,__dir |   __trb,_locl |   _prec,_locl |   _hail,_locl |   AMprs,_inHG |   AMtmp,_degC |   LEtmp,_degC |   _dens,ratio |   ____A,_ktas |   ____Q,__psf |   gravi,_fts2 |   baro_,_inHG |   edens,_part |   vacum,ratio |   vacum,ratio |   _elec,ratio |   _elec,ratio |   _AHRS,ratio |   _AHRS,ratio |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign | 
      0.00000 |       0.49088 |       0.49131 |       0.49130 |       0.00000 |       0.56539 |       0.56539 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85973 |      14.98086 |      14.98090 |       0.99824 |     661.39569 |       0.00082 |      32.14645 |      29.86000 |       0.99797 |       1.36115 |       1.36115 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      43.98666 |       0.73988 |       1.00000 |     -19.08571 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.49533 |       0.49577 |       0.49577 |       0.00000 |       0.57052 |       0.57052 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85965 |      14.98071 |      14.98075 |       0.99823 |     661.39551 |       0.00083 |      32.14645 |      29.86000 |       0.99795 |       1.34937 |       1.34937 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.06037 |       0.81376 |       1.00000 |     -17.14655 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.36708 |       0.36741 |       0.36741 |       0.00000 |       0.42280 |       0.42280 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85959 |      14.98061 |      14.98064 |       0.99823 |     661.39539 |       0.00046 |      32.14645 |      29.86000 |       0.99801 |       1.34033 |       1.34033 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.11402 |       0.86761 |       1.00000 |     -15.64833 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.16410 |       0.16424 |       0.16424 |       0.00000 |       0.18901 |       0.18901 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85955 |      14.98053 |      14.98053 |       0.99823 |     661.39532 |       0.00009 |      32.14645 |      29.86000 |       0.99812 |       1.33148 |       1.33148 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.14721 |       0.90079 |       1.00000 |     -14.17855 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.06177 |       0.06182 |       0.06182 |       0.00000 |       0.07115 |       0.07115 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85954 |      14.98052 |      14.98053 |       0.99823 |     661.39532 |       0.00001 |      32.14645 |      29.86000 |       0.99821 |       1.32290 |       1.32290 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.14978 |       0.90327 |       1.00000 |     -12.76522 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.17347 |       0.17362 |       0.17362 |       0.00000 |       0.19980 |       0.19980 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85956 |      14.98055 |      14.98056 |       0.99823 |     661.39532 |       0.00010 |      32.14645 |      29.86000 |       0.99814 |       1.31588 |       1.31588 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.13001 |       0.88356 |       1.00000 |     -11.62385 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.20596 |       0.20615 |       0.20614 |       0.00000 |       0.23723 |       0.23723 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85959 |      14.98061 |      14.98063 |       0.99823 |     661.39539 |       0.00014 |      32.14645 |      29.86000 |       0.99812 |       1.30952 |       1.30952 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.10155 |       0.85523 |       1.00000 |     -10.61104 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.17026 |       0.17041 |       0.17041 |       0.00000 |       0.19611 |       0.19611 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85962 |      14.98066 |      14.98066 |       0.99823 |     661.39545 |       0.00010 |      32.14645 |      29.86000 |       0.99813 |       1.30367 |       1.30367 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.07632 |       0.82987 |       1.00000 |      -9.70245 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.11840 |       0.11850 |       0.11850 |       0.00000 |       0.13637 |       0.13637 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85963 |      14.98069 |      14.98068 |       0.99823 |     661.39551 |       0.00005 |      32.14645 |      29.86000 |       0.99816 |       1.29849 |       1.29849 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.06325 |       0.81658 |       1.00000 |      -8.92315 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.10380 |       0.10389 |       0.10389 |       0.00000 |       0.11956 |       0.11956 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85963 |      14.98069 |      14.98068 |       0.99823 |     661.39551 |       0.00004 |      32.14645 |      29.86000 |       0.99818 |       1.29361 |       1.29361 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.06395 |       0.81724 |       1.00000 |      -8.21488 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.11544 |       0.11554 |       0.11553 |       0.00000 |       0.13296 |       0.13296 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85963 |      14.98067 |      14.98068 |       0.99823 |     661.39551 |       0.00005 |      32.14645 |      29.86000 |       0.99817 |       1.28944 |       1.28944 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.07460 |       0.82792 |       1.00000 |      -7.63233 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.10850 |       0.10860 |       0.10859 |       0.00000 |       0.12497 |       0.12497 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85961 |      14.98064 |      14.98065 |       0.99823 |     661.39545 |       0.00004 |      32.14645 |      29.86000 |       0.99817 |       1.28524 |       1.28524 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.09063 |       0.84374 |       1.00000 |      -7.07385 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.07704 |       0.07711 |       0.07711 |       0.00000 |       0.08874 |       0.08874 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85959 |      14.98061 |      14.98062 |       0.99823 |     661.39539 |       0.00002 |      32.14645 |      29.86000 |       0.99819 |       1.28127 |       1.28127 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.10407 |       0.85721 |       1.00000 |      -6.57068 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.05573 |       0.05578 |       0.05578 |       0.00000 |       0.06419 |       0.06419 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85959 |      14.98060 |      14.98059 |       0.99823 |     661.39539 |       0.00001 |      32.14645 |      29.86000 |       0.99820 |       1.27835 |       1.27835 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.10878 |       0.86183 |       1.00000 |      -6.21942 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.06348 |       0.06354 |       0.06353 |       0.00000 |       0.07312 |       0.07312 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85959 |      14.98061 |      14.98062 |       0.99823 |     661.39539 |       0.00001 |      32.14645 |      29.86000 |       0.99820 |       1.27518 |       1.27518 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.10632 |       0.85945 |       1.00000 |      -5.85663 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.07402 |       0.07409 |       0.07409 |       0.00000 |       0.08526 |       0.08526 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85960 |      14.98062 |      14.98062 |       0.99823 |     661.39539 |       0.00002 |      32.14645 |      29.86000 |       0.99819 |       1.27239 |       1.27239 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.09838 |       0.85116 |       1.00000 |      -5.55639 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.06721 |       0.06727 |       0.06726 |       0.00000 |       0.07741 |       0.07741 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85961 |      14.98064 |      14.98065 |       0.99823 |     661.39545 |       0.00002 |      32.14645 |      29.86000 |       0.99819 |       1.26989 |       1.26989 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.08952 |       0.84224 |       1.00000 |      -5.30291 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.05214 |       0.05218 |       0.05218 |       0.00000 |       0.06005 |       0.06005 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85962 |      14.98065 |      14.98065 |       0.99823 |     661.39545 |       0.00001 |      32.14645 |      29.86000 |       0.99820 |       1.26801 |       1.26801 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.08426 |       0.83693 |       1.00000 |      -5.12423 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.03615 |       0.03619 |       0.03619 |       0.00000 |       0.04164 |       0.04164 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85962 |      14.98065 |      14.98065 |       0.99823 |     661.39545 |       0.00000 |      32.14645 |      29.86000 |       0.99821 |       1.26623 |       1.26623 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.08200 |       0.83462 |       1.00000 |      -4.96441 |     -37.50000 |     -74.00000 | 
